label,val,train
accept_reservations,does spago in beverly hills allow customers to make reservations,i am thinking of going to brazil and was wondering if that is hazardous
account_blocked,my account looks to be blocked and i have no idea why,what is the meaning of altruism
alarm,i'd like alarms set for 11am and 132pm,what is your point of origin
application_status,what is the present status of my credit card application,when will my application for my credit card be processed
apr,is the apr on my card that ends 1234 what it should be based on my credit score,has the discover card approved my app
are_you_a_bot,are you secretly real,do you know where i left my phone
balance,do i have more than $100 in my pnc account,"can you tell me how i would say, 'more bread please' in french"
bill_balance,how much is my kill bill bill for,tell me how to say hello in spanish
bill_due,when do i need to pay my dte energy bill,how do they say hello in france
book_flight,can you find me a round trip flight from denver international to new york international on the 3rd through the 7th,timer 5 minutes
book_hotel,by chance would it be possible to reserve me a hotel in afghanistan at the zoo for the 10th to the 15th,how can i acquire new insurance
calculator,help me solve this math equation,search for travel alerts for kenya
calendar,what is tuesday's calendar like,tell me something interesting about sperm whales
calendar_update,"you can remove the field trip from my calendar for march 12, 2019",define thoroughbred
calories,what is the calorie content of lays chips,should i be worried about any travel alerts for that country
cancel,quit talking,"i think we should reserve dad's regular table friday for 6 people, use his name, make that close to 4:00 pm at the club"
cancel_reservation,i would like to cancel my reservation for nenuco's restaurant to x- tapas,read me the definition of ajar
car_rental,i need a car rental this week,where is your original location
card_declined,is there a reason my card was declined,i really need to set a timer
carry_on,can i take more than one carry on,when will my new visa get here
change_accent,will you please do the male british accent,what is our purpose here on earth
change_ai_name,can i start calling you dave,at what time will my flight land
change_language,i need new language,adjust your language setting to english
change_speed,can you speak more slowly,transfer $10 from checking to savings
change_user_name,will you start calling me chaz,is there any meaning to being alive
change_volume,make your volume quieter please,switch my insurance plan to a new one
confirm_reservation,please double check my reservations for six at mani,please call me johnny
cook_time,how long do i need to cook pot au feu for,flip a fair coin i win if it's tails
credit_limit,what is the limit on my victoria's secret card,set a timer for two hours
credit_limit_change,how do i change my credit limit,i need to transfer from this account to that one
credit_score,please lookup my experion credit score,can you tell me who created you
current_location,talk to me about where im at right now,is my paycheck arriving soon
damaged_card,my card was damaged by bleach,what spanish word means hello
date,give me the date,stop payments from my bank
definition,may i please have a definition for the work churlish,what is the meaning of realism
direct_deposit,how do i set up direct deposit for my first national account,you can refer to me as frank
directions,where is the closest subway entrance to me to go to brooklyn,are there ways for me to make my credit score better
distance,whats the travel time to redmond right now,can i request pto from march 9-16
do_you_have_pets,what type of pet is in your home,did they process the credit card i applied for
exchange_rate,how much is 100 dollars in euros,i need some help finding my phone
expiration_date,what is the date that my visa card expires,i am in need of a switch to my insurance plan
find_phone,please help me in finding my phone,i need help finding my mobile phone
flight_status,when is my flight going to board,what's a good trivia fact about china
flip_coin,flip a normal coin,how can i obtain new insurance
food_last,is my milk safe to drink after being in the refrigerator for a week,can you talk to me in chinese
freeze_account,may you stop a paymet on my account,toss a coin and tell me what it lands on
fun_fact,tell me something interesting about lake tahoe,lets hear an interesting fact about funko pops
gas,what is the gas level in my gas tank,what is the meaning of interorganizational
gas_type,what is the best type of gas for this car,when is payday
goodbye,see ya!,what potential hazards are there for going to spain
greeting,how ya doin,how do you say it's snowing in german
how_busy,how much to wait before dining in the jack in the box at 4 pm,what does 2 + 2 equal
how_old_are_you,what is your age again,you can call me steve
improve_credit_score,what are some ways to raise my credit score,what steps should i take to improve my credit score
income,what's my income before taxes,any idea where flight dl123 is right now
ingredient_substitution,would it be a problem to sub chips instead of fries,i have to transfer ten dollars from my bank of america account to my capital one account
ingredients_list,i need a list of ingredients required to make lamb stew,"i would like to have language set to spanish, please"
insurance,what is covered under my insurance,when will i recieve my next paycheck
insurance_change,explain how do i get new insurance,how to create a new aaa insurance plan
interest_rate,what kind of interest can i expect with my chase account,is traveling to dublin safe (will dublin be safe)
international_fees,does my visa have international transaction fees,help me move my money
international_visa,"if i plan on travelling to this country, do i need a visa",can you tell me when i'm supposed to get paid
jump_start,how can i jump start my car if my battery is dead,flange means what
last_maintenance,"on what day, month and year did i get new tires",please reserve a table for two at rouge for 7:00 pm
lost_luggage,who do i contact for lost luggage,what is the meaning of my life
make_call,call alex,what sorts of subjects are you well versed in
maybe,i do not have that information,any unique trivia about beats headphones
meal_suggestion,can you give me a chinese meal suggestion,tell me what i have in my money market account
meaning_of_life,i want to know what the purpose of life is,does life have meaning
measurement_conversion,what is the total number of pints in two quarts,reserve a table for 2 at red lobster at 8:00
meeting_schedule,what if any meetings do i have today,find out where my phone is
min_payment,what is the minimum amount due on my cable bill,schedule a pto request for me on march 1-2
mpg,how well is the gas mileage while i'm in the city,transfer $20000 from my savings account to checking account
new_card,who has the best credit card offering for a college student,i have a new job now and need help with rolling over my 401k
next_holiday,what day is the next holiday,what can i do in evans
next_song,i want you to skip past this song to the next track,i'm not sure
no,ill pass,can you tell me life's meaning
nutrition_info,how healthy is shepard's pie,i want to get a new car insurance plan
oil_change_how,procedure to change oil in car,i'll have to think about it
oil_change_when,when is it time to change your oil,please tell me my credit rating
order,order more bread please,i want you to add milk on my shopping list unless it is already on it
order_checks,i need more checks because i am out,send 50 dollars between bank of america and chase accounts
order_status,was my order delivered,i'd like to go on vacation
pay_bill,can you assist with my utility bill payment,"i want to pay my bill, please"
payday,when's the next time i get paid,on what date do i get paid
pin_change,"i forgot my pin number for my credit union bank account, can you help",have my app for a new card been processed yet
play_music,let me hear the song sympathy for the devil,when can i expect my new card to get here
plug_type,what kind of sockets do the us use,how do you say thank you in spanish
pto_balance,how many vacation days have i saved up,what's the purpose of life
pto_request,please request pto for march 2 and 3,how do i put in a pto request for the first to the ninth
pto_request_status,will i be permitted to take my vacation,set a timer for 5 minutes
pto_used,how many days off have i used,you have to reserve a table for 4 at red robin under the name kevin at 7
recipe,i would like to learn to make cookies,put a hold on my chase account right away please
redeem_rewards,cash in my credit card rewards,walk me through changing the oil on a tesla
reminder,please read my reminder list,could you tell me what timezone reno is in
reminder_update,remind me to call my mom,how can i change my oil for my car
repeat,i want to hear that again,can you check that there's a reservation for mark at sidetracks
replacement_card_duration,what's the time of arrival on my new credit card,tell me about today weather
report_fraud,contact the bank about fraud activity on my card,tell me when i get paid
report_lost_card,i want to report a stolen card,i need you to reserve at table for a party of four at devon's for 6:00 pm
reset_settings,factory settings restoration,is my replacement card coming soon
restaurant_reservation,please reserve a table for 2 at lucky's under the name melissa at 7 pm,what are the best ways to build my credit score
restaurant_reviews,does mcdonald's have good reviews,what do i say for goodbye in hawaii
restaurant_suggestion,where do you want to eat tonight,create a pto request for march 21st to march 26th
rewards_balance,whats the reward balance for my visa,is there a travel alert for that country
roll_dice,i would like you to roll a dice,start talking in spanish
rollover_401k,will my 401k rollover,let's go ahead and switch your language
routing,what would the routing number for chase be,where can i go to see if my credit card application has been processed
schedule_maintenance,i'd like an appointment at your earliest availability for an oil change,when will i recieve another paycheck
schedule_meeting,how do i set up a meeting,timer 10 minutes
share_location,give my location to stan,have i spent a lot on food recently
shopping_list,will you please read the things on my shopping list,can we talk in french
shopping_list_update,"i'm not sure if watermelon is on my shopping list, but if it isn't can you put it on there",take off fries from the shopping list
smart_home,could you tell me the temperature of the ac,would please let me know how much i spent on food in january
spelling,spell: dessert,translate english to french hello
spending_history,could you tell me what kind of money i've recently spent,can you track the location of my phone
sync_device,sync phone,can you set a two hour timer
taxes,how much money a year do i spend in taxes,stop syncing with this phone
tell_joke,what's the funniest thing you've got,what time do you have on your watch
text,send a text to joe,when will my card replacement arrive
thank_you,that you so much for the help,please aid in my searching for my lost phone
time,what time is it in france,please help me locate my phone
timer,create a new timer,please set a 4 minute timer
timezone,what is the timezone of saigon,whats your take on the meaning of life
tire_change,tell me when to next change my tires,i want to know what sort of things you can assist me with
tire_pressure,i need you to check the air levels in my tires and let me know if i have enough in them,show me how to apply for a visa card
todo_list,repeat my to do list,what is stupedous meant
todo_list_update,can you cancel my todo list please,are there any new harmful things that could affect my credit score
traffic,is there much traffic between here and work right now,are there any travel alerts for north korea
transactions,show all purchases of video games,what is regard mean
transfer,transfer ten dollars from my wells fargo account to my bank of america account,i need $20000 transferred from my savings to my checking
translate,"in spanish, meet me tomorrow is said how",what expression would i use to say i love you if i were an italian
travel_alert,is traveling to france safe,how would you say can i borrow five dollars in portuguese
travel_notification,"i'm going to be in canada from october 23rd to november 2nd, so can i let my bank know","on my to do list, add dishes"
travel_suggestion,what's the best place to visit in arizona,"could you tell me the meaning of life, please"
uber,i need you to schedule an uber pickup for me and three other people at 7pm to go to abe's pizza,is there a travel alert for scotland
update_playlist,add this song to travel,i would like to get a new insurance plan
user_name,do you know who i am,how would you describe what life means
vaccines,is it necessary to get a shot for travel to india,how long does it take to replace a stolen credit card
w2,"i need a w2 form, how do i get one",what is a fun fact about mt everest
weather,what's is the current weather forecast,tell me what the word arboreal means
what_are_your_hobbies,do you have hobbies,i need to know how to change my oil
what_can_i_ask_you,what categories of questions can you answer,how would i say i love you if i were french
what_is_your_name,what may i call you,all right
what_song,whats this song,i need to know who programmed you
where_are_you_from,what place were you born at,show me some ways to build my credit score
whisper_mode,set up whisper mode,can you set a timer for two minutes
who_do_you_work_for,do you work for another person,transfer 100 dollars checking to savings
who_made_you,who is your designer,please confirm my reservation for april 1st at 9am
yes,that's definitely true,what time is it in the pacific standard timezone
