intent,text,description,nearest_label
accept_reservations,does spago in beverly hills allow customers to make reservations,Requests to determine if a specific restaurant or establishment allows reservations. Users may seek this information before attempting to book a table.,restaurant_reservation
account_blocked,my account looks to be blocked and i have no idea why,Requests for information about why a bank account or service has been blocked. Users may seek assistance in understanding the reason for the hold and how to resolve it.,card_declined
alarm,i'd like alarms set for 11am and 132pm,"Requests to set, update, or review alarms for specific times. Users may provide detailed instructions for single or multiple alarms across different time periods.",timer
application_status,what is the present status of my credit card application,"Requests for updates on the status of an application, such as a credit card or other formal process. Users may ask if their application has been approved, is under review, or requires additional action.",credit_limit_change
apr,is the apr on my card that ends 1234 what it should be based on my credit score,Requests for information about the Annual Percentage Rate (APR) on a credit card. Users may ask if the rate is appropriate based on their credit score or inquire about the APR for a specific card.,interest_rate
are_you_a_bot,are you secretly real,"Inquiries about the assistant's nature, existence, or whether it is a real-life entity. Users may ask about its origin, life form, or characteristics.",how_old_are_you
balance,do i have more than $100 in my pnc account,"Requests for account balance inquiries, such as checking if there is a specific amount available or knowing the total balance in one or more bank accounts.",transactions
bill_balance,how much is my kill bill bill for,"Requests for information about the outstanding balance on specific bills, such as utilities or credit cards. Users may inquire about the amount owed and due dates to manage their payments.",bill_due
bill_due,when do i need to pay my dte energy bill,Requests for details about due dates for bills or payments. Users may inquire about specific service providers or upcoming deadlines for their financial obligations.,bill_balance
book_flight,can you find me a round trip flight from denver international to new york international on the 3rd through the 7th,"Requests to find and book round-trip flights between specified airports on given dates. Users may provide details such as departure and return dates, origin and destination airports, and preferences for airlines or flight times.",flight_status
book_hotel,by chance would it be possible to reserve me a hotel in afghanistan at the zoo for the 10th to the 15th,"Requests to reserve a hotel or motel for specified dates and locations. Users may provide details about their preferences, such as the type of accommodation and duration of stay.",car_rental
calculator,help me solve this math equation,"Requests for assistance with mathematical calculations or solving equations. Users may ask for arithmetic operations, divisibility checks, or solutions to complex math problems.",taxes
calendar,what is tuesday's calendar like,"Requests for information about scheduled events, appointments, or availability on a specific date. Users may ask for a daily agenda or details about future or past dates.",meeting_schedule
calendar_update,"you can remove the field trip from my calendar for march 12, 2019","Requests to update or modify calendar entries, such as removing or editing specific events. Users may provide event details and dates for changes.",schedule_meeting
calories,what is the calorie content of lays chips,Requests for the calorie content or nutritional information of specific foods. Users may ask about packaged products or general ingredients to understand their dietary impact.,nutrition_info
cancel,quit talking,"Requests to stop or terminate an ongoing interaction or command. Users may ask to quit a conversation, eliminate a task, or cease communication.",make_call
cancel_reservation,i would like to cancel my reservation for nenuco's restaurant to x- tapas,"Requests to cancel an existing reservation, such as for a restaurant or event. Users may provide reservation details and expect confirmation of the cancellation.",confirm_reservation
car_rental,i need a car rental this week,"Requests to book or inquire about car rental services. Users may provide details such as location, dates, and preferred car models for rental arrangements.",book_hotel
card_declined,is there a reason my card was declined,Requests for information or reasons why a card transaction was declined. Users seek assistance in understanding the issue and resolving it to restore the card's functionality.,account_blocked
carry_on,can i take more than one carry on,"Requests for information about carry-on baggage policies, including the number of bags allowed or specific airline restrictions. Users may ask about rules for their upcoming trips.",lost_luggage
change_accent,will you please do the male british accent,"Requests to change the assistant's voice, including accents, gender, or tone. Users may ask for a specific accent or voice type for a personalized experience.",change_volume
change_ai_name,can i start calling you dave,Requests to personalize the assistant by changing its name. Users may propose a new name for the assistant and ask it to adopt it for future interactions.,change_user_name
change_language,i need new language,"Requests to change the system or application's language settings. Users may ask to switch to a specific language, such as English, or adjust the language preferences to enhance usability.",change_user_name
change_speed,can you speak more slowly,Requests to adjust the speed of the assistant's speech. Users may ask for slower or faster speech to improve comprehension or match their listening preferences.,change_volume
change_user_name,will you start calling me chaz,Requests to change the user's name or the way the assistant addresses them. Users may provide a new name they want to be called and expect the assistant to remember it in future interactions.,change_ai_name
change_volume,make your volume quieter please,Requests to adjust the assistant's speaking or audio output volume. Users may ask to increase or decrease the volume for better listening preferences.,change_speed
confirm_reservation,please double check my reservations for six at mani,"Requests to verify or confirm existing reservations, typically for dining or events. Users provide details about the reservation and ask for confirmation that it is correctly recorded.",restaurant_reservation
cook_time,how long do i need to cook pot au feu for,"Requests for cooking times or durations for specific dishes or recipes. Users may ask how long to bake, simmer, or prepare a dish for optimal results.",ingredients_list
credit_limit,what is the limit on my victoria's secret card,Requests for information about the credit limit on a specific card. Users may ask to verify their current credit limit or understand their financial boundaries.,credit_limit_change
credit_limit_change,how do i change my credit limit,Requests for assistance in changing or increasing a credit card's limit. Users may ask about the process or eligibility for adjustments.,credit_limit
credit_score,please lookup my experion credit score,Requests to retrieve or check the user's credit score from a credit bureau like Experian. Users may also inquire about the latest updates or changes to their credit rating.,improve_credit_score
current_location,talk to me about where im at right now,Requests for information about the user's current location. Users may inquire to confirm their geographic position or receive details about their surroundings.,share_location
damaged_card,my card was damaged by bleach,"Requests related to reporting and addressing a damaged card, such as one that has been physically altered, destroyed, or rendered unusable. Users may seek guidance on replacing the card.",report_lost_card
date,give me the date,Requests for the current date or information about today's calendar date. Users may inquire to confirm the date or reference it for scheduling purposes.,calendar
definition,may i please have a definition for the work churlish,"Requests for the meaning or definition of words. Users may inquire about the definitions of uncommon, complex, or unfamiliar terms, aiming to gain a clear understanding or contextual usage of the word in question.",spelling
direct_deposit,how do i set up direct deposit for my first national account,Requests for guidance on setting up direct deposit for a bank account. Users may ask for steps to enable automatic deposits from their employer or other sources.,order_checks
directions,where is the closest subway entrance to me to go to brooklyn,"Requests for navigation or location-based guidance. Users may inquire about the closest entrances, landmarks, or directions to a specified destination.",current_location
distance,whats the travel time to redmond right now,"Requests for travel time or distance to a specific location. Users typically seek estimates based on current traffic, routes, or modes of transportation to determine the time needed to reach their destination.",traffic
do_you_have_pets,what type of pet is in your home,"Requests to know if the assistant or its creators have pets, often asked out of curiosity or as a conversational topic.",what_are_your_hobbies
exchange_rate,how much is 100 dollars in euros,"Requests for the current exchange rate between two currencies. Users may inquire about specific conversions, such as USD to EUR or USD to CAD, for financial planning or travel.",interest_rate
expiration_date,what is the date that my visa card expires,Requests to know the expiration date of a credit or debit card. Users may ask for the specific month and year when the card expires.,replacement_card_duration
find_phone,please help me in finding my phone,"Requests for assistance in locating a lost phone. Users may ask for strategies, tools, or services to help track their phone, such as using GPS tracking apps or contacting their service provider.",lost_luggage
flight_status,when is my flight going to board,"Requests for information about flight details, such as boarding times, delays, or schedules. Users typically inquire to ensure they are updated about their flight's status.",traffic
flip_coin,flip a normal coin,"Requests to perform a virtual coin flip for decision-making or entertainment. Users may specify a call, such as heads or tails, and expect a simulated outcome.",roll_dice
food_last,is my milk safe to drink after being in the refrigerator for a week,Requests for information about the shelf life or safety of food items. Users may ask if specific foods are still safe to consume or inquire about proper storage durations.,nutrition_info
freeze_account,may you stop a paymet on my account,Requests to freeze or temporarily block a financial account to prevent unauthorized transactions. Users may also inquire about stopping specific payments or securing their account.,report_fraud
fun_fact,tell me something interesting about lake tahoe,"Requests for interesting or entertaining facts about a topic, location, or subject of interest. Users seek trivia or surprising information to learn or share.",travel_suggestion
gas,what is the gas level in my gas tank,Requests for information about the gas level in a vehicle's tank or the amount of gas required for a specific trip. Users may inquire about fuel levels or consumption estimates.,gas_type
gas_type,what is the best type of gas for this car,Requests for recommendations or information about the best type of fuel for a specific vehicle. Users may ask about fuel grades or types compatible with their car.,gas
goodbye,see ya!,Expressions of farewell or gratitude to end a conversation. Users may use phrases like 'see ya' or 'have a good day' to indicate the conclusion of the interaction.,thank_you
greeting,how ya doin,Friendly expressions to initiate conversation. Users may greet the assistant with phrases like 'hello' or 'how ya doin'.,thank_you
how_busy,how much to wait before dining in the jack in the box at 4 pm,"Requests for information about the expected crowd or waiting times at a specific location, such as a restaurant or venue. Users may inquire to plan their visit accordingly.",restaurant_reservation
how_old_are_you,what is your age again,Inquiries about the assistant's age or existence in terms of time. Users may ask about its 'birthdate' or lifespan in a conversational manner.,are_you_a_bot
improve_credit_score,what are some ways to raise my credit score,"Requests for advice or strategies to improve credit scores. Users may seek a detailed plan, tips, or insights into financial habits that can lead to a better credit rating.",credit_score
income,what's my income before taxes,"Requests to know details about the user's income, such as annual salary or pre-tax earnings. Users may inquire for budgeting, tax preparation, or general financial planning.",taxes
ingredient_substitution,would it be a problem to sub chips instead of fries,Requests for advice on substituting one ingredient for another in cooking or recipes. Users may inquire about alternatives and their potential effects on the dish.,restaurant_suggestion
ingredients_list,i need a list of ingredients required to make lamb stew,Requests for a list of ingredients needed to prepare a specific dish or recipe. Users may ask for comprehensive ingredient details for cooking or baking purposes.,recipe
insurance,what is covered under my insurance,"Requests for details about an insurance policy, including coverage, benefits, and exclusions. Users may inquire about specific aspects like health benefits or policy terms.",insurance_change
insurance_change,explain how do i get new insurance,"Requests related to modifying, updating, or selecting a new insurance policy. Users may seek guidance on how to switch insurance providers, update their coverage details, or navigate the steps required to obtain a new policy. This can include understanding options, comparing policies, and handling necessary documentation.",insurance
interest_rate,what kind of interest can i expect with my chase account,Requests for information about the interest rate on a bank account or financial product. Users may inquire about current rates or projected returns.,transactions
international_fees,does my visa have international transaction fees,Requests for information about fees associated with using a credit or debit card internationally. Users may ask about potential charges for transactions made in foreign countries.,replacement_card_duration
international_visa,"if i plan on travelling to this country, do i need a visa",Requests for information about visa requirements for international travel. Users may ask if they need a visa for a specific country or region.,travel_alert
jump_start,how can i jump start my car if my battery is dead,Requests for guidance on how to jump-start a car with a dead battery. Users may seek step-by-step instructions or troubleshooting tips.,oil_change_how
last_maintenance,"on what day, month and year did i get new tires","Requests for the date of the last maintenance or service performed on a vehicle or other asset. Users may inquire about specific services, such as tire replacements or oil changes.",schedule_maintenance
lost_luggage,who do i contact for lost luggage,Requests for information on how to report or resolve issues with lost luggage. Users may inquire about the contact process or the steps to retrieve missing baggage.,flight_status
make_call,call alex,Requests to place a call to a specific person or contact. Users may ask the assistant to initiate a call using voice commands.,change_user_name
maybe,i do not have that information,Expressions of uncertainty or ambiguous responses where users indicate a lack of definitive information or decision-making clarity. Often used in exploratory or speculative contexts.,definition
meal_suggestion,can you give me a chinese meal suggestion,"Requests for meal or food recommendations, often based on a specific cuisine or theme. Users may ask for dishes to try or places to find certain types of food.",restaurant_suggestion
meaning_of_life,i want to know what the purpose of life is,"Philosophical or existential inquiries about the purpose or meaning of life, the reason for human existence, or the nature of reality. Responses to these questions often involve cultural, scientific, or philosophical perspectives tailored to provide thoughtful and insightful answers.",definition
measurement_conversion,what is the total number of pints in two quarts,"Requests to convert measurements between different units, such as quarts to pints or teaspoons to tablespoons. Users may inquire for accurate conversions for cooking, science, or general purposes.",ingredient_substitution
meeting_schedule,what if any meetings do i have today,"Requests to review or retrieve information about scheduled meetings. Users may ask for details about their daily, weekly, or upcoming meeting plans.",calendar
min_payment,what is the minimum amount due on my cable bill,"Requests to know the minimum payment amount required for a specific bill, such as a credit card or utility bill. Users may inquire to ensure timely payments.",pay_bill
mpg,how well is the gas mileage while i'm in the city,"Requests for information about a vehicle's miles per gallon (MPG) rating, either in specific conditions like city driving or as an overall performance metric. Users may seek guidance on fuel efficiency for their car.",gas
new_card,who has the best credit card offering for a college student,"Requests for assistance in selecting or applying for a new credit card. Users may seek recommendations tailored to their needs, such as student-friendly cards or cards with specific benefits.",credit_limit_change
next_holiday,what day is the next holiday,Requests to know the date of the next upcoming holiday in a specific region or globally. Users may ask for general or location-based holiday information.,calendar
next_song,i want you to skip past this song to the next track,Requests to skip to the next song in a playlist or queue. Users may ask to advance the current track and expect details about the upcoming song.,play_music
no,ill pass,"Negative or rejecting responses indicating disagreement, refusal, or that something is incorrect. Users may use this to decline or disapprove of suggestions or answers.",yes
nutrition_info,how healthy is shepard's pie,Requests for information about the nutritional value or health benefits of certain foods. Users may ask if a particular dish or ingredient is healthy or inquire about its nutritional content.,calories
oil_change_how,procedure to change oil in car,"Requests for step-by-step instructions or guidance on how to change the oil in a car. Users seek detailed procedures, tools needed, and tips for performing this maintenance task.",oil_change_when
oil_change_when,when is it time to change your oil,"Requests for guidance on when to change a vehicle's oil. Users may inquire about the recommended timing based on mileage, usage, or manufacturer guidelines.",oil_change_how
oos,set a warning for when my bank account starts running low,,
order,order more bread please,"Requests to place an order for items, such as groceries, products, or specific goods. Users may ask to acquire specific items like bread or footwear, expecting assistance in ordering them.",ingredients_list
order_checks,i need more checks because i am out,"Requests to order new checkbooks or replenish existing ones for a bank account. Users may ask for details about the process and how to contact their bank, such as TD Bank, for ordering checks.",balance
order_status,was my order delivered,"Requests for updates on the status of an order, such as its delivery status or estimated arrival time. Users may inquire to track or confirm their purchase.",application_status
pay_bill,can you assist with my utility bill payment,"Requests to assist with paying bills, such as utilities, credit cards, or other services. Users may specify the bill type, amount, and source account for the payment.",min_payment
payday,when's the next time i get paid,"Requests for information regarding the next paycheck or payment details. Users may inquire about the date of their next payment, the amount, or related financial specifics.",bill_due
pin_change,"i forgot my pin number for my credit union bank account, can you help",Requests to change or recover the PIN for a bank account or credit card. Users may ask for assistance in resetting a forgotten PIN or updating it for security purposes.,report_lost_card
play_music,let me hear the song sympathy for the devil,"Requests to play a specific song or music track. Users may provide the song title, artist, or a description of the song they wish to hear, expecting the assistant to play it through a connected music service.",what_song
plug_type,what kind of sockets do the us use,Requests for information about electrical plug types and socket standards in various countries. Users may inquire to determine compatibility for their devices during travel.,travel_alert
pto_balance,how many vacation days have i saved up,Requests to check the balance of available Paid Time Off (PTO) or vacation days. Users may ask how much time they have accumulated or can request in the future.,pto_used
pto_request,please request pto for march 2 and 3,Requests to schedule or manage Paid Time Off (PTO) or vacation days. Users may specify particular dates and ask for these to be officially requested or documented.,pto_used
pto_request_status,will i be permitted to take my vacation,Requests to check the status of a Paid Time Off (PTO) or vacation request. Users seek updates on whether their request has been approved or processed.,pto_balance
pto_used,how many days off have i used,Requests for details about Paid Time Off (PTO) usage. Users may ask how many days off they have already taken within a specific time frame.,pto_balance
recipe,i would like to learn to make cookies,"Requests for instructions or guidance on preparing specific dishes or meals. Users may ask for step-by-step recipes, ingredient lists, and cooking tips for items like cookies or ramen.",ingredients_list
redeem_rewards,cash in my credit card rewards,"Requests for assistance in redeeming credit card rewards or points. Users may seek guidance on how to access and use their accumulated rewards for purchases, travel, or other benefits.",rewards_balance
reminder,please read my reminder list,"Requests to manage or review reminders. Users may ask to read all their reminders, check for specific alerts, or make changes to their scheduled notifications.",reminder_update
reminder_update,remind me to call my mom,"Requests to set up or modify reminders for specific tasks or events. Users may ask to create new reminders, adjust existing ones, or specify notification times.",reminder
repeat,i want to hear that again,Requests for the assistant to repeat a previously stated response or question. Users ask for clarification or a restatement of information they may have missed or misunderstood.,what_is_your_name
replacement_card_duration,what's the time of arrival on my new credit card,Requests for information about the estimated time of arrival for a replacement credit or debit card. Users often ask about the standard delivery timeframe or whether it may take longer than expected.,expiration_date
report_fraud,contact the bank about fraud activity on my card,Requests to report fraudulent activity on a bank account or credit card. Users may seek assistance in contacting their bank to resolve unauthorized transactions and secure their account.,report_lost_card
report_lost_card,i want to report a stolen card,"Requests to report a lost or stolen card, often for credit or debit cards. Users may seek guidance on the steps to secure their account and issue a replacement card.",damaged_card
reset_settings,factory settings restoration,"Requests to restore an assistant, device, or application to its factory settings. Users may ask to reset configurations to default values.",change_language
restaurant_reservation,please reserve a table for 2 at lucky's under the name melissa at 7 pm,"Requests to make a reservation at a specific restaurant for a specified number of people, time, and under a provided name. Users expect confirmation of the booking details.",accept_reservations
restaurant_reviews,does mcdonald's have good reviews,"Requests for information about the quality or reputation of a restaurant, often based on customer reviews or ratings. Users may inquire about specific establishments to gauge their popularity or service standards.",meal_suggestion
restaurant_suggestion,where do you want to eat tonight,"Requests for recommendations or suggestions for dining options. Users may ask for specific cuisine types, locations, or general ideas on where to eat.",meal_suggestion
rewards_balance,whats the reward balance for my visa,Requests for information on rewards or points earned through a credit card or loyalty program. Users want to know their current balance or points available for redemption.,redeem_rewards
roll_dice,i would like you to roll a dice,"Requests to simulate the rolling of dice, often for games or decision-making. Users may specify the number of sides on the dice and expect a random result.",flip_coin
rollover_401k,will my 401k rollover,"Requests for assistance or information about rolling over a 401(k) retirement account, including the process, options, and potential impacts of the rollover.",insurance
routing,what would the routing number for chase be,Requests to find or verify a bank's routing number. Users may ask for general information about routing numbers or seek the number for a specific account or institution.,balance
schedule_maintenance,i'd like an appointment at your earliest availability for an oil change,"Requests to schedule vehicle maintenance appointments. Users may ask to book services like oil changes or address specific issues, such as illuminated dashboard warnings.",last_maintenance
schedule_meeting,how do i set up a meeting,"Requests to set up or manage a meeting. Users may specify the date, time, and participants, seeking assistance with scheduling tools or calendar integration.",meeting_schedule
share_location,give my location to stan,Requests to share the user's current location with a specified contact. Users may ask to send their GPS coordinates or address to someone for coordination or safety purposes.,current_location
shopping_list,will you please read the things on my shopping list,"Requests to read, verify, or update items on a shopping list. Users may ask to hear the current list, check if specific items are included, or add new items to the list.",shopping_list_update
shopping_list_update,"i'm not sure if watermelon is on my shopping list, but if it isn't can you put it on there","Requests to add, update, or verify items on a shopping list. Users may ask to include new items or check for existing ones, aiming to keep their list accurate and complete.",shopping_list
smart_home,could you tell me the temperature of the ac,"Requests to control or inquire about smart home devices, such as adjusting the temperature, turning lights on or off, or checking the status of connected appliances.",shopping_list
spelling,spell: dessert,Requests for the spelling of words. Users may ask for clarification or verification of the correct spelling of specific terms.,definition
spending_history,could you tell me what kind of money i've recently spent,"Requests to review recent spending habits or transactions, often categorized by type. Users may inquire about specific expenditures or a summary of their spending patterns.",transactions
sync_device,sync phone,"Requests to synchronize or connect devices, such as phones, tablets, or computers. Users may ask to pair devices for data sharing or compatibility.",share_location
taxes,how much money a year do i spend in taxes,"Requests for information about taxes, including yearly tax expenses or outstanding amounts owed. Users may seek estimates or details for financial planning or compliance.",income
tell_joke,what's the funniest thing you've got,"Requests to hear a joke or humorous content. Users may ask for general jokes or specify themes, such as jokes about certain topics.",fun_fact
text,send a text to joe,"Requests to send a text message to a specified contact. Users may provide the recipient's name and the message content, seeking assistance in composing and sending the text.",make_call
thank_you,that you so much for the help,Expressions of gratitude or appreciation for assistance provided by the assistant. Users may use this to acknowledge help or satisfactory responses.,yes
time,what time is it in france,Requests to know the current time in a specific location or time zone. Users may inquire about the time in their own region or in another part of the world.,timezone
timer,create a new timer,"Requests to create, manage, or customize timers for various tasks or activities. Users can define the duration, purpose, or type of the timer and receive notifications or alerts when the timer reaches its set time.",reminder_update
timezone,what is the timezone of saigon,Requests for information about the timezone of a specific location. Users seek to know the current timezone or understand how time is represented in different regions.,time
tire_change,tell me when to next change my tires,"Requests for guidance on when to replace vehicle tires. Users may seek advice based on mileage, wear patterns, or other maintenance indicators.",oil_change_when
tire_pressure,i need you to check the air levels in my tires and let me know if i have enough in them,Requests for information about tire pressure or air levels in a vehicle's tires. Users may ask if the tires have sufficient air or need to be adjusted for optimal performance.,tire_change
todo_list,repeat my to do list,Requests to manage or review tasks in a to-do list. Users may ask for a list of pending tasks or inquire about the presence of a specific task on their list.,todo_list_update
todo_list_update,can you cancel my todo list please,"Requests to manage or update a to-do list. Users may ask to add new tasks, remove existing ones, or make modifications to their list of activities.",todo_list
traffic,is there much traffic between here and work right now,"Requests for information about current traffic conditions along a specified route. Users may ask for updates on congestion, travel times, or road conditions between locations like home and work.",distance
transactions,show all purchases of video games,"Requests for details about financial transactions, such as specific purchases or the amount of the last transaction. Users aim to review their spending activity or account history.",spending_history
transfer,transfer ten dollars from my wells fargo account to my bank of america account,"Requests involving financial operations, such as transferring money between bank accounts, credit cards, or other financial instruments. Users typically specify the amount, the source account, and the target account, ensuring that the transfer is executed correctly and securely.",transactions
translate,"in spanish, meet me tomorrow is said how","Requests related to translating words, phrases, or sentences from one language to another. The user may specify the source and target languages, and the goal is to provide an accurate and context-appropriate translation.",change_language
travel_alert,is traveling to france safe,"Requests for safety information or advisories regarding travel to specific destinations. Users seek guidance on the safety of traveling to certain countries or regions, often based on current events or general safety concerns.",travel_suggestion
travel_notification,"i'm going to be in canada from october 23rd to november 2nd, so can i let my bank know",Requests to notify a bank or financial institution about upcoming travel plans. Users provide travel dates and locations to ensure uninterrupted access to financial services during their trip.,travel_alert
travel_suggestion,what's the best place to visit in arizona,"Requests for recommendations or suggestions for travel destinations. Users may ask for ideas about vacation spots, activities, or notable places to visit in a specific region.",restaurant_suggestion
uber,i need you to schedule an uber pickup for me and three other people at 7pm to go to abe's pizza,"Requests to book or schedule an Uber ride. Users may provide details such as the number of passengers, pickup time, and destination to ensure proper arrangements are made.",car_rental
update_playlist,add this song to travel,Requests to add songs or tracks to a specific playlist. Users may specify the playlist name and ask to include particular music for personal curation.,play_music
user_name,do you know who i am,Requests related to identifying or confirming the user's name saved in the system. Users may inquire if the assistant recognizes them or ask for the name stored for future interactions.,change_user_name
vaccines,is it necessary to get a shot for travel to india,Requests for information about vaccinations required or recommended for travel to specific destinations. Users may inquire about proof of vaccinations or health precautions.,international_visa
w2,"i need a w2 form, how do i get one",Requests for information on obtaining a W-2 form for tax purposes. Users may ask where to access the form or how to retrieve it from an employer.,taxes
weather,what's is the current weather forecast,"Requests for weather updates or forecasts for a specific time or location. Users may ask about current conditions, future forecasts, or temperature details.",current_location
what_are_your_hobbies,do you have hobbies,"Requests to know about the assistant's interests or hobbies, often asked conversationally or out of curiosity.",do_you_have_pets
what_can_i_ask_you,what categories of questions can you answer,Requests for information about the assistant's capabilities and the types of questions it can answer. Users seek to understand the range of functions and categories the assistant can handle.,what_is_your_name
what_is_your_name,what may i call you,Requests to know the assistant's name or how to address it. Users may inquire for personalization or clarification.,change_user_name
what_song,whats this song,"Requests to identify a song currently playing. Users may inquire about the title, artist, or any related details of the music they are hearing.",play_music
where_are_you_from,what place were you born at,Requests about the assistant's origin or creation. Users may inquire about where the assistant was developed or its underlying technology.,who_made_you
whisper_mode,set up whisper mode,"Requests to activate a whisper mode, where the assistant speaks more quietly. Users may prefer this mode in quieter environments or for privacy reasons.",change_volume
who_do_you_work_for,do you work for another person,"Requests to know the assistant's affiliation, such as the organization or team that developed or manages it. Users may ask about its operational background or ownership.",where_are_you_from
who_made_you,who is your designer,"Requests about the creator, designer, or underlying technology behind the assistant. Users are often curious about the origins or programming of the assistant.",where_are_you_from
yes,that's definitely true,Affirmative responses or confirmations indicating agreement or acceptance. Users may use this to acknowledge or validate previous statements or questions.,thank_you
